Annual Return,Annual Volatility,Average Losing Trade,Average Winning Trade,CAGR,End Portfolio Value,Losing Trades,MAR Ratio,Max Drawdown,Params,Sharpe Ratio,Sortino Ratio,Start Portfolio Value,Total Return,Total Trades,Winning Trades
0.128851971453,0.066573463169,-0.005873329608,0.00795047735994,0.134669130225,14598.460715,32,2.33461707396,0.0576836054731,"{u'open_long': 0.0, u'delay': 3.0, u'sigma': 3.0, u'close_long': -0.5}",1.93548548205,1.97457287385,10000.0,0.459846071497,109,77
0.133737044782,0.0719898083095,-0.00565794704837,0.00901115412328,0.139786842712,14796.5189806,22,2.24736700504,0.0622002736528,"{u'open_long': 0.0, u'delay': 3.0, u'sigma': 3.0, u'close_long': -0.29999999999999999}",1.85772191818,1.89149192476,10000.0,0.479651898064,84,62
0.123811009901,0.0670614802525,-0.00583825303494,0.00783271818377,0.12894212838,14378.9252955,27,2.24448444645,0.0574484392548,"{u'open_long': 0.0, u'delay': 3.0, u'sigma': 3.0, u'close_long': -0.40000000000000002}",1.84623138999,1.85454183626,10000.0,0.437892529547,99,72
0.123342142296,0.0700380760075,-0.00538728647834,0.00851335121494,0.128186407463,14350.121247,22,2.22687329667,0.0575634041032,"{u'open_long': 0.0, u'delay': 2.0, u'sigma': 3.0, u'close_long': -0.19999999999999996}",1.76107268113,1.78579024769,10000.0,0.435012124702,83,61
0.122105567597,0.0667741888579,-0.00607914899012,0.00755834096233,0.127045055532,14306.6918949,26,2.20038627114,0.0577376150715,"{u'open_long': 0.0, u'delay': 2.0, u'sigma': 3.0, u'close_long': -0.29999999999999999}",1.82863423257,1.83088575959,10000.0,0.430669189494,100,74
0.119959325489,0.0713593232418,-0.00670288164379,0.00704347134065,0.124277209155,14201.7368904,42,2.15985731793,0.0575395458409,"{u'open_long': 0.10000000000000009, u'delay': 3.0, u'sigma': 3.0, u'close_long': -0.5}",1.68106030213,1.70279019957,10000.0,0.420173689036,139,97
0.16073671771,0.0792924057524,-0.00516486805348,0.00638656993333,0.168744760344,16012.4546427,137,2.09070472221,0.0807119047239,"{u'open_long': 0.5, u'delay': 2.0, u'sigma': 3.0, u'close_long': -0.5}",2.02713886891,3.01455095693,10038.5260112,0.595100179526,338,201
0.124811440814,0.073824571525,-0.00615029068547,0.00987726314314,0.129536113432,14401.5918451,18,2.08195427118,0.0622185199865,"{u'open_long': 0.0, u'delay': 3.0, u'sigma': 3.0, u'close_long': -0.19999999999999996}",1.69064903779,1.76410732549,10000.0,0.440159184511,70,52
0.114109418657,0.0718767821744,-0.00668239184895,0.00713779792401,0.117695446785,13954.2229966,39,2.03987786803,0.0576973007205,"{u'open_long': 0.10000000000000009, u'delay': 3.0, u'sigma': 3.0, u'close_long': -0.40000000000000002}",1.58756993851,1.60233576988,10000.0,0.395422299663,129,90
0.121833623727,0.0659978667545,-0.00670435071763,0.00776045904449,0.12679842463,14297.3189092,27,2.03757274792,0.0622301337509,"{u'open_long': 0.0, u'delay': 1.0, u'sigma': 3.0, u'close_long': -0.099999999999999978}",1.84602366286,1.94461336336,10000.0,0.429731890923,102,75
0.102391117016,0.0608435629036,-0.00618203762735,0.00769933702948,0.105516791857,13503.8410195,46,1.98824958064,0.0530701944486,"{u'open_long': 0.0, u'delay': 2.0, u'sigma': 3.0, u'close_long': -0.5}",1.68285866457,1.78937869837,10000.0,0.350384101955,128,82
0.113709321814,0.075634290027,-0.00609849434544,0.00755310640204,0.116942732392,13926.1008812,35,1.8684109643,0.0625894059854,"{u'open_long': 0.10000000000000009, u'delay': 3.0, u'sigma': 3.0, u'close_long': -0.29999999999999999}",1.50340965418,1.55044757726,10000.0,0.392610088116,113,78
0.111167717485,0.0781067739037,-0.0071644440132,0.00816379970331,0.113905536838,13813.0118593,30,1.8296021651,0.0622569971827,"{u'open_long': 0.10000000000000009, u'delay': 3.0, u'sigma': 3.0, u'close_long': -0.19999999999999996}",1.42327882627,1.52337915615,10000.0,0.381301185925,101,71
0.142184605329,0.0718661457611,-0.00652197285116,0.00659404989992,0.149431335748,15174.615101,81,1.78196084352,0.0838578110693,"{u'open_long': 0.10000000000000009, u'delay': 1.0, u'sigma': 2.0, u'close_long': -0.40000000000000002}",1.97846432174,2.23785808528,10000.0,0.517461510097,237,156
0.107937717454,0.0762937914392,-0.00605377464935,0.00616533754039,0.109046642339,13685.891174,123,1.77864326507,0.0613088889046,"{u'open_long': 0.20000000000000007, u'delay': 1.0, u'sigma': 2.0, u'close_long': -0.5}",1.41476410358,1.87776590523,10038.5260112,0.363336724806,308,185
0.106366945327,0.0741962473788,-0.00714148709108,0.0104472962186,0.108912376135,13628.4253373,15,1.74195528913,0.0625230606175,"{u'open_long': -0.099999999999999978, u'delay': 3.0, u'sigma': 2.0, u'close_long': -0.19999999999999996}",1.43358928632,1.39397241264,10000.0,0.362842533732,58,43
0.0966089190057,0.060809928217,-0.0058649319726,0.00970517463745,0.0991617300644,13272.7160033,19,1.72394209796,0.0575203367804,"{u'open_long': -0.099999999999999978, u'delay': 3.0, u'sigma': 3.0, u'close_long': -0.40000000000000002}",1.58870305949,1.49770601587,10000.0,0.327271600328,63,44
0.130030334847,0.077196564271,-0.0103753129266,0.0164404318658,0.135141046933,14616.6497892,6,1.70872995542,0.0790885923806,"{u'open_long': -0.099999999999999978, u'delay': 3.0, u'sigma': 3.0, u'close_long': 0.10000000000000009}",1.6844057255,1.62417852872,10000.0,0.461664978919,35,29
